dense_nodes,multiply_nodes,Accuracy,epochs
12,0,0.39276666666666665,100
12,0,0.5739166666666666,200
12,0,0.5813333333333334,300
2,10,0.28273333333333334,100
4,8,0.7513333333333333,100
6,6,0.5142666666666666,100
8,4,0.6832,100
10,2,0.5387166666666666,100
2,10,0.09995,200
4,8,0.6834333333333333,200
6,6,0.6606166666666666,200
8,4,0.19831666666666667,200
10,2,0.6254833333333333,200
2,10,0.1,300
4,8,0.55295,300
6,6,0.1,300
8,4,0.38805,300
10,2,0.6714666666666667,300
2,5,0.45818333333333333,100
4,4,0.5675333333333333,100
6,3,0.2806666666666667,100
8,2,0.6229333333333333,100
10,1,0.29236666666666666,100
2,5,0.52525,200
4,4,0.7123666666666667,200
6,3,0.7925833333333333,200
8,2,0.7098333333333333,200
10,1,0.6428166666666667,200
2,5,0.5081333333333333,300
4,4,0.6710166666666667,300
6,3,0.6523,300
8,2,0.49033333333333334,300
10,1,0.3861,300
12,0,0.6644333600997925,100
12,0,0.6717166900634766,200
12,0,0.680400013923645,300
2,10,0.3582166666666667,100
4,8,0.5944666666666667,100
6,6,0.1,100
8,4,0.7842833333333333,100
10,2,0.64795,100
2,10,0.19481666666666667,200
4,8,0.28863333333333335,200
6,6,0.3620833333333333,200
8,4,0.48675,200
10,2,0.38288333333333335,200
2,10,0.27498333333333336,300
4,8,0.6089666666666667,300
6,6,0.19815,300
8,4,0.8491,300
10,2,0.4935,300
2,5,0.5545,100
4,4,0.5373666666666667,100
6,3,0.46953333333333336,100
8,2,0.39326666666666665,100
10,1,0.38458333333333333,100
2,5,0.45076666666666665,200
4,4,0.5500833333333334,200
6,3,0.4679833333333333,200
8,2,0.4659333333333333,200
10,1,0.52125,200
2,5,0.53545,300
4,4,0.5483833333333333,300
6,3,0.1,300
8,2,0.48988333333333334,300
10,1,0.32926666666666665,300
12,0,0.29843333333333333,100
12,0,0.4868166666666667,200
12,0,0.49005,300
2,10,0.19853333333333334,100
4,8,0.7070666666666666,100
6,6,0.2021,100
8,4,0.5803833333333334,100
10,2,0.56915,100
2,10,0.4649333333333333,200
4,8,0.24231666666666668,200
6,6,0.46455,200
8,4,0.3938,200
10,2,0.57985,200
2,10,0.26793333333333336,300
4,8,0.3354333333333333,300
6,6,0.7882666666666667,300
8,4,0.5464166666666667,300
10,2,0.7665166666666666,300
2,5,0.5131,100
4,4,0.28373333333333334,100
6,3,0.45871666666666666,100
8,2,0.36036666666666667,100
10,1,0.8237333333333333,100
2,5,0.44695,200
4,4,0.6628166666666667,200
6,3,0.5711666666666667,200
8,2,0.6730333333333334,200
10,1,0.56555,200
2,5,0.27853333333333335,300
4,4,0.29841666666666666,300
6,3,0.68755,300
8,2,0.7441166666666666,300
10,1,0.6465833333333333,300
12,0,0.4772666666666667,100
12,0,0.4831666666666667,200
12,0,0.48513333333333336,300
2,10,0.49411666666666665,100
4,8,0.49598333333333333,100
6,6,0.2618333333333333,100
8,4,0.4027,100
10,2,0.5397166666666666,100
2,10,0.27823333333333333,200
4,8,0.7566166666666667,200
6,6,0.68915,200
8,4,0.6577,200
10,2,0.5448666666666667,200
2,10,0.5056333333333334,300
4,8,0.19271666666666668,300
6,6,0.45786666666666664,300
8,4,0.58155,300
10,2,0.48486666666666667,300
2,5,0.3446,100
4,4,0.6458333333333334,100
6,3,0.48275,100
8,2,0.36916666666666664,100
10,1,0.5241333333333333,100
2,5,0.5398333333333334,200
4,4,0.1,200
6,3,0.68785,200
8,2,0.3777,200
10,1,0.38635,200
2,5,0.6673833333333333,300
4,4,0.28928333333333334,300
6,3,0.7231666666666666,300
8,2,0.5549666666666667,300
10,1,0.68475,300
12,0,0.4601,100
12,0,0.46908333333333335,200
12,0,0.47465,300
2,10,0.4722166666666667,100
4,8,0.7390666666666666,100
6,6,0.5197666666666667,100
